Provincia,Cantón,Latitud,Longitud
San José,San José,﻿9.93251,-84.07958
San José,Escazú,9.91887,-84.13989
San José,Desamparados, 9.94727,-84.50626
San José,Puriscal,9.73336,-84.4094
San José,Tarrazú,9.58308,-84.0648
San José,Aserrí,9.85876 ,-84.0923
San José,Mora,9.87417,-84.2822
San José,Goicoechea,9.95602,-83.9849
San José,Santa Ana,9.93333,-84.1833
San José,Alajuelita,9.89081, -84.1115
San José,Vázquez de Coronado,10.0759, -83.94804
San José,Acosta,9.75,-84.2333
San José,Tibás,9.95889, -84.0825
San José,Moravia,10.0128,-84.0222
San José,Montes de Oca,9.94111, -84.0094
San José,Turrubares,9.74747,-84.4975
San José,Dota,9.58475,-83.8737
San José,Curridabat,9.91179,-84.03407
San José,Pérez Zeledón,9.34111,-83.7406
San José,León Cortés,9.69441,-84.0623
Alajuela,Alajuela,10.01625,-84.21163
Alajuela,San Ramón,10.08802,-84.47022
Alajuela,Grecia,10.0722,-84.3111
Alajuela,San Mateo,9.9625,-84.5611
Alajuela,Atenas,9.97489,-84.37886
Alajuela,Naranjo,10.09866,-84.37824
Alajuela,Palmares,10.05523,-84.4327
Alajuela,Poás,10.0833,-84.25
Alajuela,Orotina,9.91197,-84.52337
Alajuela,San Carlos,10.6172,-84.5147
Alajuela,Zarcero,10.18561 ,-84.39076
Alajuela,Sarchí,10.0897 ,-84.34752
Alajuela,Upala,10.89792 ,-85.01454
Alajuela,Los Chiles,11.03333 ,-84.71667
Alajuela,Guatuso,10.6667,-84.8167
Cartago,Cartago,9.86444 ,-83.91944
Cartago,Paraíso,9.83832 ,-83.86557
Cartago,La Unión,9.91361,-83.9975
Cartago,Jiménez,9.89389,-83.7461
Cartago,Turrialba,9.90467 ,-83.68352
Cartago,Alvarado,9.91593,-83.8095
Cartago,Oreamuno,9.86917,-83.9033
Cartago,El Guarco, 9.85000,-83.9333
Heredia,Heredia,9.99797,-84.11674
Heredia,Barva,10.0764,-84.1155
Heredia,Santo Domingo,10.06389 ,-84.15499
Heredia,Santa Bárbara,10.0358, -84.1611
Heredia,San Rafael,10.0132 ,-84.10016
Heredia,San Isidro,10.02972,-84.03207
Heredia,Belén,9.98056, -84.1883
Heredia,Flores,10.0079,-84.15829
Heredia,San Pablo,9.99559 ,-84.09656
Heredia,Sarapiquí,10.45778,-84.00639
Guanacaste,Liberia,10.63504,-85.43772
Guanacaste,Nicoya,10.15038,-85.45093
Guanacaste,Santa Cruz,10.26053 ,-85.5851
Guanacaste,Bagaces,10.52541 ,-85.25537
Guanacaste,Carrillo,10.4459, -85.553
Guanacaste,Cañas,10.43105 ,-85.09825
Guanacaste,Abangares,10.2838,-84.9614
Guanacaste,Tilarán,10.46701 ,-84.96775
Guanacaste,Nandayure,9.83657 , -85.3286
Guanacaste,La Cruz,11.0845,-85.64358
Guanacaste,Hojancha,10.0589,-85.4194
Puntarenas,Puntarenas,9.83333,-84.83333
Puntarenas,Esparza,9.99083,-84.6672
Puntarenas,Buenos Aires,9.17189 ,-83.33417
Puntarenas,Montes de Oro,10.13667,-84.73528
Puntarenas,Osa,8.89389,-83.5142
Puntarenas,Aguirre,9.41667 ,-84.1667
Puntarenas,Golfito,8.60327,-83.11342
Puntarenas,Coto Brus,8.89472,-82.9161
Puntarenas,Parrita,9.52139,-84.3289
Puntarenas,Corredores,8.64944,-82.9425
Puntarenas,Garabito,9.70972,-84.6144
Limón,Limón,9.95406,-83.06213
Limón,Pococí,10.2156,-83.7922
Limón,Siquirres,10.0836,-83.5078
Limón,Talamanca,9.62083,-82.8444
Limón,Matina,10.0855,-83.2834
Limón,Guácimo,10.2129,-83.68793
